name	type_id	id	lat	lng	page
济扶岛韩国海鲜汤(方庄簋街店)	1	29583682	39.866282	116.432977	598
京味儿私厨(回龙观新村店)	1	29566414	40.061375	116.314844	599
古北水镇山水城度假山庄(餐厅)	1	29592826	40.657329	117.243631	599
董记煎饼(玉桥中路店)	1	29461730	39.895457	116.677589	599
于记香辣虾(天通苑)	1	29481374	40.070377	116.436942	599
荟友居(八里桥店)	1	29455986	39.920557	116.643919	599
樱之雪寿司(沁山水店)	1	29446418	39.90339	116.25224	599
顺来福烤鸭店(马连道店)	1	29534222	39.87681	116.333658	599
DQ(丰台万达广场店)	1	29518122	39.824271	116.298919	599
驷马酒店	1	29560298	39.899871	116.301848	599
blublu潮牛(丰台万达广场店)	1	29522454	39.82404	116.29896	599
祖母家的洋馅饼(上地佳园店)	1	29569062	40.034363	116.317203	599
宇甜品	1	29577838	39.932378637304	116.45379985011	599
北京航空航天模型博物馆	3	824349	39.99415	116.5316	599
ice cotton冰魔师	1	29583694	39.921330561441	116.4377297635	599
某个时间音乐主题串吧(广安门外店)	1	29537370	39.894784	116.335553	599
小豆花村(西红门店)	1	29502554	39.782252	116.330435	600
京东石林峡景区钛合金玻璃观景台	3	34883972	40.264362	117.239809	600
西少爷肉夹馍(西二旗店)	1	29568886	40.053178882948	116.30128137961	600
南马场水库	3	4416	39.972576141357	116.17417907715	600
肯德基(三里河店)	1	29534062	39.914145	116.340084	600
COSTA COFFEE(天通苑)	1	29484866	40.070601	116.414841	600
第1佳大鸡排(石园店)	1	29436454	40.112458	116.661982	600
重庆小面(川鄂人家)	1	29521914	39.883972	116.313881	600
吉野家	1	29486498	40.148017	116.288825	600
雪世界滑雪场	3	7254	40.265830993652	116.20556640625	600
东来顺饭庄(天安门店)	1	29550086	39.9009	116.39998	600
八王府阳坊涮羊肉(平西府店)	1	29481278	40.100823	116.374407	600
香啡小镇(上地店)	1	29563574	40.03052	116.31175	600
丹娜の梦	1	29545714	39.908899	116.415297	600
刚仔食府(润星家园店)	1	29501058	39.814896	116.441407	600
乌江鱼	1	29417202	40.330954	116.644008	601
多禾馅饼(SOGO新馆店)	1	29535590	39.896182	116.375211	601
虾吃虾涮(回龙观西大街店)	1	29486510	40.07683	116.32374	601
BON CAKE(光华路外送店)	1	29584934	39.913151	116.45243	601
友子饭庄	1	29467378	39.919354	116.676973	601
脉络餐厅(万达广场店)	1	29575626	39.90924	116.47244	601
古铜老院爆肚涮肉(常营店)	1	29584622	39.928696	116.59985	601
姥姥家春饼店(佳亿店)	1	29584930	39.94993	116.45883	601
多禾馅饼(荣京西街店)	1	29501634	39.784641	116.494842	601
云巴朵颐巫山纸包烤鱼	1	29584306	39.870857	116.695031	601
回龙观公园	3	815914	40.08436	116.325445	601
金典鲍师傅糕点(魏公村店)	1	29558190	39.954893	116.318763	601
赛百味(百子湾店)	1	29575262	39.900281	116.492761	601
成都驻京办餐厅(北京蜀都宾馆店)	1	836282	39.925125	116.40068	601
COSTA COFFEE(肖家河店)	1	29555598	40.01626203948	116.27090000397	601
清太郎日本料理(万寿路店)	1	29564794	39.909528	116.294618	602
雍和宫大殿	3	34836072	39.94785	116.417274	602
东六宫	3	33537784	39.92056	116.39804	602
古早味太古坊(对外经贸店)	1	29579206	39.982411	116.431126	602
京好味烤鸭楼(亦庄店)	1	29504630	39.81335	116.52326	602
小青烧烤	1	29504538	39.727871	116.328414	602
玉林串串香(马连洼店)	1	29563250	40.03411	116.28779	602
东方宫兰州牛肉拉面	1	29543990	39.899318	116.400194	602
老段烤串	1	29550082	39.89239	116.4208	602
红墙小院	1	22327792	39.918606	116.421668	602
金百万烤鸭店(花乡店)	1	15435672	39.839893	116.306214	602
铁锅焖面	1	29486754	40.074692	116.35863	602
王佐烤鸭店(福天下店)	1	29513490	39.812743	116.128686	602
品味乡(芳城园店)	1	29518086	39.8676	116.433888	602
夹克的虾	1	29577194	39.913225	116.451371	602
凤凰湘宴(海淀店)	1	29565422	39.950286	116.313621	603
西山居(上地店)	1	29566662	40.039675	116.265983	603
残桥	3	33540136	40.00224093967	116.31093017578	603
粮食店街	3	22085	39.892200469971	116.39800262451	603
满乡庄园	1	29583550	40.373782	116.680987	603
鲜果时间(西红门店)	1	29503818	39.786803	116.326893	603
宏状元(HZYBJ024 上地店)	1	12059854	40.037379	116.313769	603
哈尼泡芙(良乡华冠店)	1	29408570	39.735395	116.139239	603
猫眼(首经贸店)	1	29520158	39.844154	116.321317	603
什刹海摇橹船	3	850190	39.935005	116.392931	603
正一味韩国料理(大成翠微店)	1	29522770	39.888285	116.265405	603
呷哺呷哺(昌平西关店)	1	29483230	40.224269	116.226057	603
必胜客(朝阳门店)	1	29575114	39.92486	116.43872	603
味多美(清河店)	1	29555662	40.03091	116.34399	603
宏盛园垂钓烧烤区	1	29438122	40.113273	116.809442	603
杨国福麻辣烫(万年花城店)	1	29523466	39.848276	116.320727	604
宏状元(HZYBJ047 北苑家园店)	1	29579114	40.044142	116.422484	604
福楼毕斯罗	1	29597474	39.912543	116.45956	604
味多美(北太平庄店)	1	29563514	39.968211	116.367544	604
天地行精品菜馆	1	29567394	39.909716	116.288193	604
大树披萨	1	29506362	39.769472	116.503883	604
民福居烤鸭店(小营店)	1	13026901	39.99517	116.42391	604
什刹海-后海滑冰场	3	69443136	39.944359	116.38332	604
东岳饭庄(酒仙桥店)	1	29572586	39.963821	116.502644	604
阿田大虾(回龙观店)	1	29483582	40.079573	116.332333	604
大喜龙虾(光彩路店)	1	29523494	39.843491	116.415247	604
九方顺老北京四季涮肉	1	29544938	39.883374	116.440691	604
美拉德小萨BBQ(方庄店)	1	29586690	39.866105	116.433273	604
COSTA COFFEE(石景山当代店)	1	29447126	39.92550559	116.1962116	604
沙县小吃	1	29513142	39.858533	116.425959	604
威海银滩小海鲜.渔夫传奇(管庄店)	1	29576106	39.913092	116.590176	605
聚友朋褡裢火烧	1	29438306	40.043427	116.592439	605
乐寿堂	3	11793	39.998149	116.27915	605
爆肚金生隆	1	839245	39.95215	116.39045	605
鹏宏天外天烤鸭店(北河沿店)	1	29551050	39.919195	116.406074	605
思乡源饭庄	1	29405378	39.690038	115.860538	605
龙虾部落(通州店)	1	29466930	39.91082	116.68352	605
龙娃炭烤羊腿(旧宫店)	1	29504850	39.810217	116.455551	605
伊清园拉面	1	29530190	39.88225	116.37067	605
大厨房(商业街店)	1	29481882	40.21641	116.232692	605
满溢比萨(广外店)	1	29538106	39.884031	116.318483	605
赛百味(新中关购物中心店)	1	29562322	39.978386	116.31563	605
东关吉祥(北土城店)	1	29562254	39.976829	116.358631	605
老诚一锅(光明楼店)	1	29546858	39.884676	116.440657	605
万芳亭公园	3	6927	39.859298706055	116.3826675415	605
集市口(BHGMall店)	1	29438422	40.127832	116.651673	606
百花人家(清水镇店)	1	5509	39.889484405518	116.19911193848	606
OPERA BOMBANA	1	22327801	39.91911	116.449609	606
龙娃炭烤羊腿(五道口店)	1	29567622	39.993705	116.338697	606
福林饺子	1	29503130	39.804272	116.49436	606
苗寨冒粉(龙德广场店)	1	29485250	40.05991	116.41544	606
文艺猫青年Mr.Articat之Family	1	29537634	39.934762	116.375227	606
BHG Kitchen(西单大悦城店)	1	29531526	39.91115	116.37263	606
鲜果时间(悦荟万科广场店)	1	29481802	40.212263	116.239155	606
内江人家	1	29510942	39.888534	116.308467	606
望京小腰烧烤(望京二店)	1	29576766	40.00535	116.47077	606
校场口胡同	3	22079	39.892896	116.371991	606
金鼎轩南北点心店(德胜国际店)	1	834068	39.954849	116.378547	606
椒塘	1	29568538	40.042879	116.279857	606
盱眙杨氏兄弟龙虾(第一分店)	1	29569438	40.058844	116.340191	606
苏松府生煎(三里屯店)	1	29571750	39.934078	116.449623	607
拼途	4	21467	39.939353942871	116.403175354	607
西门烤翅(总店)	1	29566274	40.002027	116.315513	607
友一腿	1	29390114	39.912881	116.116529	607
棒约翰(方庄店)	1	29522878	39.862311	116.439458	607
客从何处来 DOKO BAR	1	22323547	39.93216	116.45733	607
蜜咖啡	1	29536946	39.890513	116.356292	607
花样罗马意大利餐厅	1	29571186	39.948413	116.462974	607
庆丰包子铺(西便门店)	1	15436017	39.899302	116.353087	607
蘭芳園(凯德店)	1	29576206	39.971422	116.447934	607
真心披萨(杨镇店)	1	29434386	40.15764	116.831792	607
豫园海鲜烧烤	1	29584302	40.004129	116.478091	607
蜀天情火锅(沙河店)	1	29485002	40.15437	116.2998	607
大邻洞首尔炸鸡	1	29467910	39.89516	116.6808	607
西部马华牛肉面(紫金店)	1	29565898	39.978522	116.336602	607
建阳特色小吃	1	29510426	39.87998	116.32939	608
庆丰包子铺(紫竹桥店)	1	15435927	39.945172	116.300936	608
田野永和(东方新天地店)	1	29547602	39.909797	116.412032	608
和合谷(世纪金源购物中心店)	1	29558838	39.959034	116.288703	608
叫了个鸡(紫竹桥店)	1	29569334	39.94366	116.31149	608
名佬麻辣烫	1	29500402	39.753817	116.315765	608
本食麻辣香锅(白石桥店)	1	29564830	39.93423	116.324976	608
丹陛桥	3	33531868	39.879975	116.412971	608
满德海酒楼(魏公村店)	1	29567158	39.953297	116.320295	608
煎饼间(大运村店)	1	29565198	39.977233	116.342767	608
龙健都食府	1	29506998	39.83854	116.42794	608
科力淮扬村(广安门店)	1	29535886	39.890145	116.345939	608
正阳桥	3	860674	39.898243000015	116.3979960003	608
护国寺小吃(香园路店)	1	15435606	39.773332	116.320862	608
南街翠花	1	29463838	39.946794	116.719173	608
悦客烤鱼	1	29385798	40.146431	117.094146	609
北京古代钱币博物馆	3	6627983	39.949829	116.379681	609
薛香记老饭盒	1	29519482	39.889743	116.255664	609
赛百味(融科店)	1	29447582	39.91018	116.205679	609
正宗原味久久鸭脖王(荣丰店)	1	29527650	39.895707	116.335747	609
得一鸿福单记	1	29537626	39.875632	116.373507	609
家全七福酒家	1	29578334	39.912392	116.45888	609
亦海人家(宏达北路店)	1	29504090	39.802196	116.505509	609
顺哥小面烤鱼吧(科怡路店)	1	9500557	39.833524	116.295916	609
漫烤吧(城乡世纪广场店)	1	29505558	39.801667	116.532886	609
鲤居酒屋(建国路店)	1	29582874	39.911937	116.48129	609
老正兴寿桃面食	1	29552902	39.89399	116.447289	609
